source	target
CC#CCC(C)[C@H](O)\C=C\[C@H]1[C@H](O)C[C@@H]2C\C(C[C@H]12)=C/CCCC(O)=O	Q13258
CC#CCC(C)[C@H](O)\C=C\[C@H]1[C@H](O)C[C@@H]2C\C(C[C@H]12)=C/CCCC(O)=O	P34995
CC#CCC(C)[C@H](O)\C=C\[C@H]1[C@H](O)C[C@@H]2C\C(C[C@H]12)=C/CCCC(O)=O	P43116
CC#CCC(C)[C@H](O)\C=C\[C@H]1[C@H](O)C[C@@H]2C\C(C[C@H]12)=C/CCCC(O)=O	P43115
CC#CCC(C)[C@H](O)\C=C\[C@H]1[C@H](O)C[C@@H]2C\C(C[C@H]12)=C/CCCC(O)=O	P35408
CC#CCC(C)[C@H](O)\C=C\[C@H]1[C@H](O)C[C@@H]2C\C(C[C@H]12)=C/CCCC(O)=O	P43088
CC#CCC(C)[C@H](O)\C=C\[C@H]1[C@H](O)C[C@@H]2C\C(C[C@H]12)=C/CCCC(O)=O	P43119
CC#CCC(C)[C@H](O)\C=C\[C@H]1[C@H](O)C[C@@H]2C\C(C[C@H]12)=C/CCCC(O)=O	P21731
CCCCC[C@H](O)CC[C@H]1[C@H](O)C[C@@H]2Cc3c(C[C@H]12)cccc3OCC(O)=O	Q9H244
CCCCC[C@H](O)CC[C@H]1[C@H](O)C[C@@H]2Cc3c(C[C@H]12)cccc3OCC(O)=O	Q03181
CCCCC[C@H](O)CC[C@H]1[C@H](O)C[C@@H]2Cc3c(C[C@H]12)cccc3OCC(O)=O	P43119
C[C@H](CCCC(C)(C)O)[C@H]1CC[C@@H]2[C@]1(C)CCC\C2=C/C=C1/C[C@@H](O)C[C@H](O)C1=C	P11473
CC(/C=C/C1=C(C)CCCC1(C)C)=C\C=C\C(C)=C\C(O)=O	P51843
CC(/C=C/C1=C(C)CCCC1(C)C)=C\C=C\C(C)=C\C(O)=O	P49116
CC(/C=C/C1=C(C)CCCC1(C)C)=C\C=C\C(C)=C\C(O)=O	Q03181
CC(/C=C/C1=C(C)CCCC1(C)C)=C\C=C\C(C)=C\C(O)=O	P10276
CC(/C=C/C1=C(C)CCCC1(C)C)=C\C=C\C(C)=C\C(O)=O	P10826
CC(/C=C/C1=C(C)CCCC1(C)C)=C\C=C\C(C)=C\C(O)=O	P13631
CC(/C=C/C1=C(C)CCCC1(C)C)=C\C=C\C(C)=C\C(O)=O	P28702
CC(/C=C/C1=C(C)CCCC1(C)C)=C\C=C\C(C)=C\C(O)=O	P48443
CC\C(c1ccccc1)=C(/c1ccccc1)c1ccc(OCCN(C)C)cc1	P03372
CC\C(c1ccccc1)=C(/c1ccccc1)c1ccc(OCCN(C)C)cc1	Q92731
CC\C(c1ccccc1)=C(/c1ccccc1)c1ccc(OCCN(C)C)cc1	Q99527
CC\C(c1ccccc1)=C(/c1ccccc1)c1ccc(OCCN(C)C)cc1	P17252
CC\C(c1ccccc1)=C(/c1ccccc1)c1ccc(OCCN(C)C)cc1	P05771
CC\C(c1ccccc1)=C(/c1ccccc1)c1ccc(OCCN(C)C)cc1	Q05655
CC\C(c1ccccc1)=C(/c1ccccc1)c1ccc(OCCN(C)C)cc1	Q02156
CC\C(c1ccccc1)=C(/c1ccccc1)c1ccc(OCCN(C)C)cc1	P05129
CC\C(c1ccccc1)=C(/c1ccccc1)c1ccc(OCCN(C)C)cc1	P41743
CC\C(c1ccccc1)=C(/c1ccccc1)c1ccc(OCCN(C)C)cc1	Q04759
CC\C(c1ccccc1)=C(/c1ccccc1)c1ccc(OCCN(C)C)cc1	Q05513
CCCCCCCCCCCCCC(=O)O[C@@H]1[C@@H](C)[C@]2(O)[C@@H]3C=C(C)C(=O)[C@@]3(O)CC(CO)=C[C@H]2[C@@H]2C(C)(C)[C@]12OC(C)=O	Q9HBA0
CCCC(CCC)C(O)=O	Q13547
CCCC(CCC)C(O)=O	Q92769
CCCC(CCC)C(O)=O	Q9UKV0
CCCC(CCC)C(O)=O	Q9Y5Y9
CCCC(CCC)C(O)=O	Q9UI33
CCCC(CCC)C(O)=O	P35498
CCCC(CCC)C(O)=O	Q99250
CCCC(CCC)C(O)=O	Q9NY46
CCCC(CCC)C(O)=O	P35499
CCCC(CCC)C(O)=O	Q14524
CCCC(CCC)C(O)=O	Q9UQD0
CCCC(CCC)C(O)=O	Q15858
CCc1cc(C(C)=O)c(O)cc1OCCCCCC(C)(C)c1nnn[nH]1	Q15722
CCc1cc(C(C)=O)c(O)cc1OCCCCCC(C)(C)c1nnn[nH]1	Q9NPC1
OC(CNCCNC(=O)Nc1ccccc1)COc1ccccc1C#N	P08588
OC(CNCCNC(=O)Nc1ccccc1)COc1ccccc1C#N	P07550
Oc1cc2C(CNCCc2c(Cl)c1O)c1ccccc1	P21728
Oc1cc2C(CNCCc2c(Cl)c1O)c1ccccc1	P21918
CC(C)OC(=O)c1cc2c(OCC(O)CNC(C)(C)C)cccc2[nH]1	P08908
CC(C)OC(=O)c1cc2c(OCC(O)CNC(C)(C)C)cccc2[nH]1	P28222
Oc1ccc(CCNCC2CCc3ccccc3C2=O)cc1	P35348
CC(C)C1[C@H]2[C@@H](CCN2C(=O)/C=C/CN3CCCCC3)N(C1=O)S(=O)(=O)C	P08246
CCCCCCCCC=CCCCCCCCC(=O)NC(CO)Cc1ccc(O)cc1	Q8TDV5
CCCCC(=O)O[C@H]1CCC2C3CCc4cc(O)ccc4C3CC[C@]12C	P03372
Cc1ccccc1N1CCN(CC1)S(=O)(=O)CC12CCC(C[C@@H]1NC(=O)[C@@H](N)CCS(C)(=O)=O)C2(C)C	P37288
Cc1ccccc1N1CCN(CC1)S(=O)(=O)CC12CCC(C[C@@H]1NC(=O)[C@@H](N)CCS(C)(=O)=O)C2(C)C	P30518
Cc1ccccc1N1CCN(CC1)S(=O)(=O)CC12CCC(C[C@@H]1NC(=O)[C@@H](N)CCS(C)(=O)=O)C2(C)C	P30559
CC(C)CC(NC(=O)OCC1c2ccccc2-c3ccccc13)C(=O)O	P37231
C[N+]1([O-])[C@H]2C[C@@H](C[C@@H]1[C@H]1O[C@@H]21)OC(=O)[C@H](CO)c1ccccc1	P11229
C[N+]1([O-])[C@H]2C[C@@H](C[C@@H]1[C@H]1O[C@@H]21)OC(=O)[C@H](CO)c1ccccc1	P08172
C[N+]1([O-])[C@H]2C[C@@H](C[C@@H]1[C@H]1O[C@@H]21)OC(=O)[C@H](CO)c1ccccc1	P20309
C[N+]1([O-])[C@H]2C[C@@H](C[C@@H]1[C@H]1O[C@@H]21)OC(=O)[C@H](CO)c1ccccc1	P08173
CN(C(Cc1ccc(cc1)c2ccccc2)C(=O)NC(Cc3c[nH]c4ccccc34)C(=O)O)C(=O)c5cc(C)cc(C)c5	P24530
COc1ccc(C2CC(=NCCS2)c2c(O)cc(C)oc2=O)c(OC)c1	P16109
COc1cc2CCN(C)C(CCc3ccc(Cl)cc3)c2cc1O	Q13224
CN(C)c1ccc(Cn2cnc3CN(C(Cc32)C(=O)O)C(=O)C(c4ccccc4)c5ccccc5)cc1C	P50052
Oc1cc2CCN(CC=C)CC(c3ccccc3)c2cc1O	P21728
