code	name	TF	ligand
Q13905	RAPGEF1	False	False
Q96FS4	SIPA1	False	False
Q9H0E2	TOLLIP	False	False
Q6PHR2	ULK3	False	False
P12956	XRCC6	False	False
Q8IZQ1	WDFY3	False	False
Q5D1E8	ZC3H12A	False	False
P37275	ZEB1	True	False
Q15796	SMAD2	False	False
Q8N5C8	TAB3	False	False
P36897	TGFBR1	False	False
Q15562	TEAD2	False	False
P28908	TNFRSF8	False	False
O14798	TNFRSF10C	False	False
Q06418	TYRO3	False	False
Q9H3M7	TXNIP	False	False
O75604	USP2	False	False
Q05086	UBE3A	False	False
Q92558	WASF1	False	False
P42226	STAT6	True	False
Q15208	STK38	False	False
P19438	TNFRSF1A	False	False
Q96RU2	USP28	False	False
P67809	YBX1	False	False
P06702	S100A9	False	False
Q96BR1	SGK3	False	False
Q96FJ0	STAMBPL1	False	False
O95238	SPDEF	False	False
Q07352	ZFP36L1	False	False
P61077	UBE2D3	False	False
P22314	UBA1	False	False
P18206	VCL	False	False
Q9H4A3	WNK1	False	False
Q13950	RUNX2	False	False
Q9HAU4	SMURF2	False	False
P30872	SSTR1	False	False
P48023	FASLG	False	False
O60603	TLR2	False	False
Q8NFZ5	TNIP2	False	False
Q8WV44	TRIM41	False	False
P46937	YAP1	False	False
O14512	SOCS7	False	False
Q13263	TRIM28	False	False
Q13077	TRAF1	False	False
Q15569	TESK1	False	False
P68363	TUBA1B	False	False
P00734	F2	False	False
O94972	TRIM37	False	False
P02788	LTF	False	False
P98170	XIAP	False	False
O96014	WNT11	False	False
P18433	PTPRA	False	False
Q14765	STAT4	True	False
Q86XR7	TICAM2	False	False
P07437	TUBB	False	False
Q9NQB0	TCF7L2	True	False
Q9Y4K3	TRAF6	False	False
Q15819	UBE2V2	False	False
P09327	VIL1	False	False
P10586	PTPRF	False	False
Q9H6Z4	RANBP3	False	False
O15211	RGL2	False	False
Q96EQ8	RNF125	False	False
O15304	SIVA1	False	False
O75886	STAM2	False	False
O95793	STAU1	False	False
Q9P0N9	TBC1D7	False	False
Q9UKW4	VAV3	False	False
O14746	TERT	False	False
O14836	TNFRSF13B	False	False
Q03405	PLAUR	False	False
Q00653	NFKB2	True	False
P80511	S100A12	False	False
P17948	FLT1	False	False
Q8IZL8	PELP1	False	False
Q8NEB9	PIK3C3	False	False
P08922	ROS1	False	False
P19474	TRIM21	False	False
P68371	TUBB4B	False	False
P0CG48	UBC	False	False
P49459	UBE2A	False	False
Q92890	UFD1	False	False
P45880	VDAC2	False	False
P60510	PPP4C	False	False
P36873	PPP1CC	False	False
Q9H0H5	RACGAP1	False	False
Q13009	TIAM1	False	False
Q9UHF0	TAC3	False	False
P42681	TXK	False	False
P47901	AVPR1B	False	False
