,O00327,O00716,O14593,O43524,O75030,P01100,P01106,P03372,P04150,P04637,P05412,P05549,P06401,P08047,P08651,P10070,P10242,P10275,P10276,P10914,P11308,P11473,P11831,P14859,P14921,P15036,P15336,P15407,P15923,P15976,P16220,P17535,P17542,P17676,P17947,P18146,P18846,P18848,P18850,P19419,P19544,P19793,P19838,P22415,P23511,P23769,P23771,P25490,P26367,P36956,P37231,P37275,P40763,P41235,P42224,P42226,P42229,P48382,P48431,P48436,P49715,P49716,P51692,P52630,P55317,P56693,P58012,P84022,P98177,Q00613,Q00653,Q00978,Q01094,Q01196,Q01201,Q01543,Q02447,Q04206,Q04864,Q06710,Q07869,Q08050,Q12772,Q12778,Q13127,Q13469,Q13485,Q13761,Q14186,Q14209,Q14765,Q15672,Q16236,Q16665,Q92731,Q99626,Q99814,Q9H3D4,Q9NQB0,Q9UJU2,Q9Y261
CPC013_A375_6H:BRD-A45664787-001-01-4:10,-0.013369173,-0.047119528,-0.0007343292,-0.047889292,0.031327307,-0.018363863,-0.08491361,0.037220657,0.06435266,0.039921254,0.012171626,0.0009191036,0.013179749,-0.00088506937,0.018315375,-0.010010064,-0.0024176836,-0.012632072,0.05010605,-0.04443878,-0.019218147,-0.041967064,0.017983079,0.0533154,0.00694108,0.020136535,0.093584,0.0023866445,-0.018050104,-0.034093678,-0.024379492,-0.0039729774,0.03647405,-0.05205241,0.11531767,0.05068922,-0.038707614,-0.045186043,0.009804606,0.010285914,-0.014018357,-0.021663249,-0.08311877,0.022952735,-0.015447974,0.017354816,0.047416374,0.004399121,0.072891414,-0.031562045,-0.04040581,-0.0023859143,-0.04119551,0.03203067,-0.07585788,-0.014567643,-0.06902546,-0.0017109513,0.049090922,0.07466209,0.08275914,0.018500984,-0.08834067,-0.028639823,-0.017618448,-0.0015301704,-0.034663826,0.00859341,-0.024713784,-0.05211717,0.03615713,0.02924636,-0.020335019,0.01808992,-0.06120664,-0.09740493,0.0016426444,-0.11649087,-1.4662743e-05,0.10611382,-0.040761024,0.02678305,-8.6158514e-05,0.0016322434,-0.06250104,-0.026867688,0.079443336,-0.07120478,-0.0024738312,-0.027571797,-0.04814881,0.032717884,-0.050854415,-0.0013293028,-0.024600148,-0.012565047,0.059240684,-0.019563794,-0.051242948,-0.050472677,0.061662465
CPC017_A375_6H:BRD-A03359064-001-01-5:10,0.041315794,0.04343158,-0.00044357777,0.05618,-0.03400755,0.07648063,0.14512563,-3.695488e-05,-0.055620223,-0.014901012,-0.011690468,0.0006607473,0.005045891,0.0011538565,-0.012750059,-0.029153407,0.0022335947,0.123925224,0.029001072,-0.11016303,-0.05614406,0.00946185,-0.072613895,-0.050947875,0.03829217,-0.06727153,0.10429457,0.014548272,0.062027365,-0.04496759,-0.06506431,-0.004709333,-0.09485608,0.08618796,-0.25452673,-0.01684779,-0.018137991,0.036393046,0.023242682,-0.004446149,0.06269044,-0.048474014,0.04791683,-0.0012725592,-4.7385693e-05,-0.11681536,-0.054850876,0.036081553,-0.11138058,0.0120346695,0.060847104,-0.021134794,-0.07481554,0.044304818,-0.12503088,-0.033466607,-0.045182705,-0.0006479621,-0.054780245,0.01120016,-0.0017862916,-0.038586795,-0.030337095,0.010600984,0.011851162,-0.020487368,0.07972172,0.034383222,0.06768194,0.07149741,-0.033955812,-0.012056738,0.05103737,-0.06395316,0.032378674,0.051976234,-0.0036674738,0.043936014,0.017187238,-0.06544489,-0.0078905225,0.0006245971,6.41942e-05,0.13857041,0.087059885,0.07794508,0.16392031,-0.035093307,0.01760453,0.04539126,-0.08746034,0.012814283,0.119502276,0.019045055,0.0066211224,-0.027047038,-0.063761696,-0.020474076,0.0831112,0.093811244,-0.13649121
CPC017_A375_6H:BRD-A09828896-004-04-5:10,0.06690627,0.03669095,-0.00027179718,0.016433239,-0.03185135,-0.0004223287,0.27733558,-0.0026652813,-0.04142967,-0.026643127,-0.067576736,0.0004888177,0.0044659823,0.0034956634,-0.014575928,-0.04199195,0.0019126534,0.11598927,0.025025517,-0.14261353,-0.07797277,-0.016109347,-0.071239054,-0.13337147,-0.025480032,-0.0927982,-0.020039737,0.007833332,0.054200232,-0.08554053,-0.070604265,-0.036228925,-0.078251004,0.0037234724,-0.31527415,-0.04043114,-0.022745669,-0.15886098,-0.04102233,-0.0274117,0.08418876,-0.051847577,-0.049009472,-0.029104471,0.022779286,-0.116869956,-0.057304814,0.02331683,-0.12598222,-0.006184995,0.04799074,-0.01880759,-0.10915795,-0.062430933,-0.13836354,-0.08548027,0.018776476,-0.0001681447,-0.048748434,0.0033812225,-0.12430686,-0.06062156,0.00016772747,0.028714508,0.013041511,-0.018264413,0.01585263,0.031736895,0.05477184,0.08730611,0.02473396,-0.009322703,0.058403134,-0.018829376,-0.014126301,0.06314847,-0.0075253844,-0.041048855,-0.08082655,-0.03301859,0.01751551,0.056337774,-6.7055225e-06,0.09634355,0.10379526,0.045358032,0.1423417,-0.03099978,0.011687219,0.076310635,-0.11652604,-0.046423882,0.10860866,0.075506,-0.01799792,-0.026752412,-0.06065716,-0.031184077,0.0652231,0.08063418,-0.105456114
CPC017_A375_6H:BRD-A15530910-001-01-3:10,0.05259779,0.027879506,-0.00012749434,0.04539925,-0.037122846,0.013599455,0.19083405,0.0066698343,-0.020680994,-0.02813375,-0.03247574,0.00050625205,0.030393228,-0.010369122,-0.017450273,-0.020530641,-0.00025627017,0.15362692,0.0008429587,-0.15222448,-0.08904153,0.040980697,-0.10708481,-0.118775696,-0.036771595,-0.11448708,0.060954154,0.00875023,0.078168064,-0.0738219,-0.07835251,-0.04554501,-0.11596018,0.07568833,-0.3697284,-0.065992236,-0.033389628,-0.060872495,-0.01726088,-0.019897401,0.08604616,-0.07452047,0.041134715,-0.017983258,0.0109708905,-0.1669854,-0.09325838,0.042265505,-0.1646133,-0.006958738,0.0073922873,-0.025546193,-0.11894342,0.0342416,-0.154706,-0.09746924,0.016685098,0.00022149086,-0.068323195,-0.010412723,-0.061719596,-0.059815556,0.020690411,-0.022007316,0.015328005,-0.01211983,0.075775325,0.03793116,0.06722221,0.060613543,-0.03965628,-0.07586676,0.06817496,-0.052475095,0.039535344,0.0528149,-0.009046316,0.04594791,-0.010405302,-0.13385534,-0.028291225,-0.00063610077,6.514788e-05,0.1424911,0.10763338,0.080055475,0.18210289,-0.030299783,-0.004048705,0.07051885,-0.12658179,-0.04028836,0.11042482,0.025799155,0.0025209785,-0.03335598,-0.14729023,-0.057442486,0.1627352,0.12364283,-0.208047
CPC017_A375_6H:BRD-A24429032-003-01-6:10,0.065006465,0.03832856,0.00039815903,0.08611658,-0.024156153,0.03590274,0.19032466,-0.007170737,-0.060262203,0.035897836,-0.01722145,0.0002619028,0.0051745325,0.01719749,-0.017403156,-0.036835372,-0.0035084188,0.13661803,0.018922225,-0.11145902,-0.06606722,0.06687164,-0.055113614,-0.09498882,-0.008761525,-0.07435733,0.078733265,0.0026878417,0.062910795,-0.043440938,-0.07804704,-0.023403376,-0.06752932,0.08530134,-0.2966335,-0.03478211,-0.02933544,0.05589798,0.021488756,0.03318906,0.099992216,-0.035934865,0.043933153,-0.015059292,0.0089357495,-0.1371848,-0.09769398,-0.020721316,-0.15333015,-0.0069852322,0.074723125,-0.023293495,-0.073866844,0.02354531,-0.1130178,-0.0613479,0.050469995,0.0015842319,-0.06585419,-0.03350368,-0.050311983,-0.0484125,0.0501765,0.062794566,0.015818864,-0.0052447915,0.078810275,0.03261645,0.09171614,0.087917894,0.0064978004,-0.0030859709,0.08226359,-0.06286457,0.027488291,0.0061019957,-0.00612244,0.081401855,-0.031546593,-0.06877506,0.008018762,0.00028711557,4.4822693e-05,0.15472262,0.12965429,0.07066473,0.14050427,-0.019034743,0.033665836,0.06193465,-0.08339226,-0.021933496,-0.05426696,0.060210228,0.020031273,-0.028362483,-0.11282703,-0.048324794,0.12754703,0.11440924,-0.19168562
CPC017_A375_6H:BRD-A38898897-003-01-0:10,0.055069804,0.035228014,-0.00075638294,0.07512322,-0.0269773,0.046931773,0.11861062,0.015429467,-0.022022843,0.00041469932,-0.019668907,0.0013985038,0.02883409,0.0091326535,-0.011630744,-0.027859747,-0.0011710823,0.12370923,0.038650945,-0.12699401,-0.056424797,0.06603715,-0.050848722,-0.0977546,-0.013599157,-0.06530768,0.028316021,0.011615753,0.05345413,-0.0657686,-0.07072312,-0.024082005,-0.061443627,0.06805287,-0.2753837,-0.027022421,-0.012478948,-0.037847638,0.0032894611,0.049807787,0.068754256,-0.010891795,0.032859564,-0.016274452,0.009670675,-0.12844202,-0.049472004,0.03601119,-0.12820292,-0.005420238,0.06851238,-0.026416779,-0.06087303,0.015045837,-0.1038267,-0.055056036,0.08583328,-0.0014582872,-0.059562027,0.00831604,-0.055261284,-0.038747787,0.06941056,0.00023949146,0.0099255,-0.0027111173,0.075808644,0.03609383,0.068106174,0.09760365,-0.00631696,-0.03683579,0.04276234,-0.049539953,0.02076888,0.057311893,-0.008311391,0.04582095,-0.028205901,-0.07157147,-0.016963929,0.022922099,5.7190657e-05,0.12448779,0.10761064,0.08143398,0.15936355,-0.024615586,0.014481366,0.03143561,-0.071178675,-0.060065687,0.09634015,0.040220886,-0.01582539,-0.029245913,-0.092051804,-0.023722202,0.09458387,0.10302174,-0.16121215
CPC017_A375_6H:BRD-A39522003-001-01-0:10,0.052851945,0.04389152,-5.2452087e-06,0.016544014,-0.040267706,0.016454637,0.263314,-0.007587284,-0.042841017,-0.023697942,-0.051816553,-0.00020736456,0.0053281784,-0.020595193,-0.018428504,-0.017283618,-9.9122524e-05,0.14002141,0.014141113,-0.15176904,-0.09891653,0.06549588,-0.10848236,-0.1443902,-0.031296372,-0.1294693,-0.051472127,-0.002111867,0.08130613,-0.083230734,-0.08653766,-0.053195566,-0.11968136,0.048673704,-0.39369974,-0.081522346,-0.028238177,-0.15300006,-0.038558215,-0.026729643,0.08618766,-0.056895316,0.0053903162,-0.041226983,0.030612707,-0.18370733,-0.08416833,0.03626576,-0.19646758,-0.020941377,0.03739339,-0.01828152,-0.121757984,-0.04633999,-0.15422112,-0.095757484,0.12686637,0.0005328655,-0.07641029,-0.007455915,-0.16554943,-0.073791504,0.11417663,-0.038815767,0.01644586,0.0086122155,0.032200515,0.04018122,0.03862807,0.039129913,0.01210475,-0.11479828,0.10077828,-0.038546294,0.01419127,0.044513106,-0.013493329,0.0035851598,-0.07955521,-0.18670285,-0.030521482,0.0010992885,7.9244375e-05,0.107987165,0.12471175,0.07947916,0.15487653,-0.008975744,0.02352047,0.10993272,-0.118840754,-0.105516315,0.12520087,0.032294214,0.017516494,-0.031067252,-0.18488914,-0.038728416,0.16648114,0.13586825,-0.22475937
CPC017_A375_6H:BRD-A39747742-001-03-5:10,0.0355362,0.02461052,-0.0014488101,0.04653305,-0.030103266,-0.0033390522,0.100278854,0.009131074,0.018990904,-0.006548673,-0.06330714,-0.00040107965,0.023439825,-0.04045555,-0.017925829,-0.020888805,0.0019489527,0.10382187,0.016007602,-0.14045459,-0.07131708,0.07763001,-0.10096693,-0.072289795,-0.034943044,-0.0948894,-0.054709136,0.00526008,0.050375402,-0.04370612,-0.098317385,-0.03164947,-0.010106385,0.02967617,-0.27997616,-0.07913762,-0.04930502,-0.0908103,-0.019459516,-0.009259284,0.011170447,-0.0229007,-0.025091171,-0.03161636,0.020461977,-0.073225886,-0.03094028,0.021075487,-0.15716195,0.0015684515,0.031962097,-0.019269168,-0.10304159,0.02818279,-0.11079025,-0.08964279,0.0673587,-0.0032742023,-0.060775936,0.0046687126,-0.11326271,-0.05577874,0.058023542,0.06393954,0.016734198,-0.011147499,0.022910923,0.03222631,-0.008437067,-0.0047059655,0.013830662,0.0028330982,0.0621593,-0.044306964,-0.0080024,0.066545516,-0.0121099055,-0.033700675,-0.05460301,-0.08454311,-0.025855541,-0.00911963,-4.643202e-05,0.101745635,0.12230903,0.040106714,0.07054138,-0.02711165,0.022845566,0.08579984,-0.114212155,-0.10519341,0.07240078,0.009147286,-0.024357378,-0.031831235,-0.0950764,-0.018092483,0.11859375,0.089996696,-0.1348607
CPC017_A375_6H:BRD-A43930669-003-01-0:10,0.064341456,0.02531913,5.018711e-05,0.033094257,-0.04270941,0.07362601,0.24064487,-0.013512477,-0.11094558,0.0048092008,0.0057356954,-0.00031030178,-0.0053916276,0.008172512,-0.02352643,-0.03615439,0.00048658252,0.17199698,-0.0158578,-0.15363544,-0.07625574,0.014574856,-0.06174475,-0.1138652,0.023919225,-0.094121635,0.08983129,0.008540377,0.08800897,-0.07985306,-0.082898796,-0.014581591,-0.12216294,0.092575535,-0.36603704,-0.055346012,-0.02902621,-0.06365907,-0.008716136,0.058835447,0.095374405,0.01813358,0.064403266,-0.012803197,0.0079301,-0.19292772,-0.10723564,0.046849906,-0.17528439,-0.0007683933,0.115648806,-0.02997446,-0.122841716,0.008795187,-0.14192504,-0.09131375,-0.023213446,0.0007812977,-0.07484287,-0.07294956,-0.045498252,-0.051191866,-0.0151568055,0.07628843,0.020416185,-0.021264374,0.10623759,0.03767854,0.06131646,0.091157824,-0.03954327,0.052008927,0.06953585,-0.08079535,0.047509342,0.08669758,-0.0057127774,0.08265439,0.0055169463,-0.18251634,0.022293389,-0.010415196,0.00012612343,0.16093646,0.13760175,0.112261415,0.18532412,-0.022870064,0.010907114,0.03958413,-0.12903368,-0.029773861,0.12954351,0.0495376,-0.070269406,-0.03081733,-0.26054966,-0.049833685,0.16258708,0.12514341,-0.23389104
CPC017_A375_6H:BRD-A47633927-001-01-8:10,0.06213966,0.05562678,1.3589859e-05,0.018490255,-0.039750516,0.006502956,0.22302532,0.00634034,-0.033786893,-0.049469948,-0.042936534,0.00034436584,0.03113088,-0.015599012,-0.021282703,-0.052868664,0.00049069524,0.13758677,0.0013884455,-0.15396112,-0.09649354,0.013363957,-0.108636916,-0.12164107,-0.051160097,-0.11668277,0.014910281,0.003168106,0.08148262,-0.08398807,-0.08750218,-0.047362924,-0.10108584,0.063699156,-0.36586317,-0.07165235,-0.024950325,-0.11071575,-0.017973393,-0.036573708,0.10133082,-0.09039086,0.0067116916,-0.026993573,0.01978153,-0.17199484,-0.0885296,0.028660059,-0.16852093,-0.0035208166,0.01475307,-0.017291307,-0.11840454,-0.05277601,-0.15974075,-0.10309085,-0.015951574,0.00060260296,-0.07293749,-0.027602643,-0.108017325,-0.06919411,0.00384897,0.03816399,0.018597618,-0.019431233,0.052040875,0.029815659,0.028686553,0.082206786,-0.034924984,0.0023006499,0.11938119,-0.08372089,0.027902186,0.02466479,-0.010664791,-0.0032762885,-0.014054507,-0.12764102,-0.0032629669,0.01743567,2.2470951e-05,0.10334808,0.12976018,0.07195693,0.17147,-0.028743684,0.016263425,0.10849118,-0.10993904,-0.0881089,0.10314879,0.04014191,-0.08293849,-0.030581027,-0.207882,-0.03668493,0.1692828,0.13474306,-0.2166045
