model,cell,TF,r
Ensembles,A375,O00327,0.500745532686285
Ensembles,A375,O00716,0.351101616693419
Ensembles,A375,O14593,0.0774142352364433
Ensembles,A375,O43524,0.468227000630057
Ensembles,A375,O75030,0.298991829069466
Ensembles,A375,P01100,0.192005096208512
Ensembles,A375,P01106,0.499110715513904
Ensembles,A375,P03372,0.135043332706264
Ensembles,A375,P04150,0.0691745448316226
Ensembles,A375,P04637,0.264021093252828
Ensembles,A375,P05412,0.246390331826745
Ensembles,A375,P05549,0.1357170920171
Ensembles,A375,P06401,0.065216145299287
Ensembles,A375,P08047,0.409109100348975
Ensembles,A375,P08651,0.455268418729743
Ensembles,A375,P10070,0.341864905896501
Ensembles,A375,P10242,-0.153609013889543
Ensembles,A375,P10275,0.554838036985908
Ensembles,A375,P10276,0.278180456474344
Ensembles,A375,P10914,0.435325263284184
Ensembles,A375,P11308,0.230913040694416
Ensembles,A375,P11473,0.242031644677842
Ensembles,A375,P11831,0.621356379193897
Ensembles,A375,P14859,0.512616354460626
Ensembles,A375,P14921,0.250940273703882
Ensembles,A375,P15036,0.365293265206187
Ensembles,A375,P15336,0.387998526181534
Ensembles,A375,P15407,0.141580691683521
Ensembles,A375,P15923,0.43209216641078
Ensembles,A375,P15976,0.252656947657236
Ensembles,A375,P16220,0.312533224617347
Ensembles,A375,P17535,0.101011802065126
Ensembles,A375,P17542,0.271581015946097
Ensembles,A375,P17676,0.583829123202876
Ensembles,A375,P17947,0.662171209064333
Ensembles,A375,P18146,0.334847561160725
Ensembles,A375,P18846,0.70641330703007
Ensembles,A375,P18848,0.33430882396304
Ensembles,A375,P18850,0.239045389537469
Ensembles,A375,P19419,0.499059868576794
Ensembles,A375,P19544,0.201675588248154
Ensembles,A375,P19793,6.24616890900816e-05
Ensembles,A375,P19838,0.525448084204542
Ensembles,A375,P22415,0.337812129144187
Ensembles,A375,P23511,0.118134530354531
Ensembles,A375,P23769,0.502399683988447
Ensembles,A375,P23771,0.598629081009664
Ensembles,A375,P25490,0.21270117661369
Ensembles,A375,P26367,0.672812223483411
Ensembles,A375,P36956,0.0429535187291132
Ensembles,A375,P37231,0.252193956880932
Ensembles,A375,P37275,0.431581780302622
Ensembles,A375,P40763,0.411201396284122
Ensembles,A375,P41235,0.28259578446767
Ensembles,A375,P42224,0.471014611999239
Ensembles,A375,P42226,0.155469653682398
Ensembles,A375,P42229,0.107615285092996
Ensembles,A375,P48382,0.0252354050843041
Ensembles,A375,P48431,0.481542647250729
Ensembles,A375,P48436,0.203104461825516
Ensembles,A375,P49715,0.222731587554556
Ensembles,A375,P49716,0.0785822280357898
Ensembles,A375,P51692,0.210824486057651
Ensembles,A375,P52630,0.594641538935245
Ensembles,A375,P55317,0.607726957121515
Ensembles,A375,P56693,0.150075719360643
Ensembles,A375,P58012,0.517967853103369
Ensembles,A375,P84022,0.231436242282489
Ensembles,A375,P98177,0.178967440424908
Ensembles,A375,Q00613,0.164896380809108
Ensembles,A375,Q00653,0.187326238305134
Ensembles,A375,Q00978,0.448753860924897
Ensembles,A375,Q01094,0.579011344404488
Ensembles,A375,Q01196,0.240834903314031
Ensembles,A375,Q01201,0.313395668223381
Ensembles,A375,Q01543,0.553279442171183
Ensembles,A375,Q02447,0.442451069424637
Ensembles,A375,Q04206,0.362508007771028
Ensembles,A375,Q04864,0.138520146117192
Ensembles,A375,Q06710,0.568966432759471
