,O00327,O00716,O14593,O43524,O75030,P01100,P01106,P03372,P04150,P04637,P05412,P05549,P06401,P08047,P08651,P10070,P10242,P10275,P10276,P10914,P11308,P11473,P11831,P14859,P14921,P15036,P15336,P15407,P15923,P15976,P16220,P17535,P17542,P17676,P17947,P18146,P18846,P18848,P18850,P19419,P19544,P19793,P19838,P22415,P23511,P23769,P23771,P25490,P26367,P36956,P37231,P37275,P40763,P41235,P42224,P42226,P42229,P48382,P48431,P48436,P49715,P49716,P51692,P52630,P55317,P56693,P58012,P84022,P98177,Q00613,Q00653,Q00978,Q01094,Q01196,Q01201,Q01543,Q02447,Q04206,Q04864,Q06710,Q07869,Q08050,Q12772,Q12778,Q13127,Q13469,Q13485,Q13761,Q14186,Q14209,Q14765,Q15672,Q16236,Q16665,Q92731,Q99626,Q99814,Q9H3D4,Q9NQB0,Q9UJU2,Q9Y261
CPC013_VCAP_6H:BRD-A45664787-001-01-4:10,-0.0032895207,0.0006547272,0.0023799539,-0.011262149,-0.00480181,-0.02531606,-0.003964454,0.0014178157,0.0058165193,-0.039376587,-0.00406605,-0.0039091706,-0.0064134,-0.00034201145,-0.007896781,-0.0046893954,0.0030299723,0.0026795268,0.0010611117,0.0018360019,-0.00010073185,0.0011945069,-0.027842224,-0.01790148,-0.0048075914,0.0017931163,0.0001026988,-0.036411196,-0.012583613,0.012027204,0.005925417,-0.025749922,-0.0046551824,-0.005195588,0.002308488,-0.03479308,-0.0015792847,-0.0033029318,0.0,-0.0141326785,0.0035885572,0.0006583631,-0.006973192,-0.001963526,0.0013050437,-0.004079044,0.008322537,-0.009440601,0.001552999,0.0010372996,-0.008693129,-0.0029189736,0.0011690557,0.0016940236,-0.007884622,0.0018979311,-0.0051501393,0.0021967888,0.00015640259,-0.009674907,-0.009573102,-0.008889884,-0.0077395737,-0.00044059753,0.016364709,-0.0050338507,-0.006461814,-0.005887538,-0.008722067,-0.0067948103,0.012377977,0.0024539828,0.005966276,0.003643036,-0.005229652,-0.0014346093,1.809001e-05,-0.0053654015,-0.006873995,-0.004130125,0.00057315826,0.015573561,1.3053417e-05,-0.0059564114,-0.0013556033,-0.00583753,-0.008896366,-0.016424477,0.0011136532,0.00052917004,0.008357406,0.010727584,-0.077006534,-0.0026958734,7.3075294e-05,-0.00048410892,0.01757127,-0.0032437742,0.008283287,0.0038876235,0.0011171699
CPC001_VCAP_6H:BRD-A03359064-001-01-5:10,0.0027858913,-0.0040954947,-0.0019617677,0.0015170276,-0.0029093027,-0.0040700436,0.0042078793,-0.0023179054,-0.0002334714,-0.0039676726,-0.0049629807,-0.0010576546,0.0014646053,-0.0019675195,-0.0063085556,-0.009408444,0.0027301013,0.0061748624,-0.0014760494,0.018288255,-0.0034878254,0.0006146431,-0.0069233626,-0.010655642,-0.0030139387,-0.0037856698,-0.032455415,-0.015612811,0.008771867,-0.0034949183,-0.0065287948,-0.003983602,-0.0010220408,-0.003111124,-0.010353029,-0.008794665,-0.0027341545,-0.003064394,0.0,-0.00022125244,7.4476004e-05,-0.0007265806,-0.002307482,-0.005416423,0.0019357204,-0.0016208887,0.0017601848,-0.0020061731,-0.0010964274,0.0045889616,-0.0008929223,-0.005163446,-0.0025069416,-0.00043714046,0.0382303,4.7504902e-05,0.0074489117,-0.0018271208,0.00018996,-0.004031956,-0.013683081,-0.0023760796,0.000121861696,0.13058692,0.009702355,-0.006965399,0.0010615289,-0.0032769293,0.003394723,-0.002653718,0.0023961067,0.123555124,-0.0011480451,-0.003481239,0.0020529032,-0.00598678,9.685755e-06,-0.001138404,-0.00092861056,0.0025581717,-0.0007907152,-0.0013921261,1.1742115e-05,0.0018427372,0.014423445,-0.006806642,-0.0013249367,-0.00086790323,0.0014537573,-0.000107228756,-0.0014701784,-0.0030298233,-0.013387859,-0.00010788441,-0.0021679997,-0.002560854,-0.005025506,-0.0074406266,-0.0020883381,0.005919218,-0.00027382374
CPC001_VCAP_6H:BRD-A09828896-004-04-5:10,0.008694738,-0.0019987226,-0.003128469,0.0009226799,-0.00016462803,-0.002395153,0.002833575,-0.00017592311,-0.0008049607,-0.0017357469,-0.003142178,-0.00026223063,0.001363337,-0.0015411675,-0.007928789,-0.0041119456,0.00093087554,0.0020951033,-0.0007914007,-0.0007688403,-0.0013485253,0.0008176565,-0.0012254417,-0.014635831,-0.0023735464,-0.0017642379,-0.0030881763,-0.00043828785,0.0027368665,-0.0028298497,-0.0020272136,-0.00216119,-0.0025509,0.0003235042,-0.0055951476,-0.0014867783,-0.0018841922,-0.006725371,0.0,9.3221664e-05,0.00011703372,9.7334385e-05,0.00042464584,-0.0016519427,0.00045847893,-0.0020748377,0.00028830767,-7.1525574e-05,-0.0017697811,-0.00012817979,-0.0033661723,-0.00087721646,-0.0006926954,-0.00023812056,-0.0011907816,-0.00035500526,0.0013559759,-0.0029438138,-0.00023466349,-0.001671493,-0.003213644,-0.00060230494,0.0010318756,0.0028104484,0.013020217,0.00048446655,0.00014539063,-0.004498124,0.0007811636,-0.0020298362,0.0003054142,-0.00019192696,0.0007764697,-0.0027727187,-9.2983246e-05,-0.0005952269,-3.695488e-06,-0.0009586811,-0.0010234714,-0.0062538385,-0.000592947,-0.0023403764,-3.1590462e-06,0.0001771748,0.01123035,-0.00091025233,-0.003862083,0.000628978,5.429983e-05,2.9802322e-07,-0.00085541606,-0.000433743,0.00023183227,-0.0021179318,-0.0007017851,0.00028699636,-0.00873816,0.001346916,0.002341479,0.0022431612,-7.3194504e-05
CPC001_VCAP_6H:BRD-A15530910-001-01-3:10,-2.771616e-06,-5.9604645e-08,-5.9604645e-08,2.026558e-06,-2.0861626e-06,-9.834766e-07,-2.3841858e-07,-8.940697e-08,-1.1920929e-07,-4.7683716e-07,-7.1525574e-07,0.0,5.9604645e-08,1.6391277e-07,7.1525574e-07,-2.0861626e-07,1.1920929e-07,2.3841858e-07,-2.9802322e-08,-1.7881393e-07,-4.172325e-07,-5.9604645e-08,-5.364418e-07,-5.9604645e-08,8.940697e-08,-5.662441e-07,-4.172325e-07,-2.6226044e-06,-9.536743e-07,-5.364418e-07,5.364418e-07,-4.0233135e-07,1.1920929e-07,5.364418e-07,-1.3113022e-06,-4.7683716e-07,1.4901161e-07,-1.4901161e-07,0.0,0.0,0.0,0.0,6.7055225e-07,2.0861626e-07,-5.9604645e-08,4.7683716e-07,-2.9802322e-07,-1.7881393e-07,-4.7683716e-07,-5.9604645e-07,-2.9802322e-08,5.9604645e-08,2.0861626e-07,2.9802322e-07,-2.3841858e-07,0.0,-8.940697e-08,0.0,0.0,2.9802322e-07,6.556511e-07,-1.4901161e-07,3.5762787e-07,4.7683716e-07,-1.1324883e-06,1.4901161e-07,6.109476e-07,3.7252903e-07,1.0728836e-06,-6.556511e-07,1.7881393e-07,1.1920929e-07,-1.3709068e-06,-3.5762787e-07,-6.556511e-07,4.917383e-07,0.0,2.9802322e-08,1.7881393e-07,-4.172325e-07,0.0,5.9604645e-08,0.0,6.854534e-07,8.1956387e-07,-2.9802322e-08,2.5331974e-07,8.940697e-08,-7.56979e-06,0.0,4.172325e-07,-1.7881393e-07,-1.0430813e-07,4.991889e-07,0.0,1.1920929e-07,3.0994415e-06,-1.7881393e-07,0.0,1.1920929e-07,0.0
CPC001_VCAP_6H:BRD-A24429032-003-01-6:10,0.0006555617,-2.7865171e-05,7.033348e-06,-5.2183867e-05,-0.00087451935,-0.0012035966,0.00017115474,-0.00020262599,-0.000118136406,-0.00015795231,-0.00033155084,-2.1159649e-05,3.838539e-05,-0.00012612343,-8.317828e-05,7.247925e-05,0.00011217594,0.00022596121,-0.00020861626,-0.00033897161,-8.1539154e-05,-7.104874e-05,-0.0013410598,-3.6120415e-05,1.7672777e-05,-6.780028e-05,-0.0008071661,-0.0036960244,-6.431341e-05,-0.00034028292,7.7068806e-05,-0.0009736568,-6.246567e-05,-0.000108003616,-0.0005607605,-0.0017363578,1.5288591e-05,-3.5762787e-05,0.0,-0.00015313923,3.0100346e-06,0.0003004074,-0.00039690733,-0.00022161007,6.264448e-05,0.00030720234,-1.5944242e-05,-0.00064474344,-1.3530254e-05,5.1379204e-05,-0.00037375093,-6.592274e-05,4.6789646e-05,-1.2934208e-05,-0.00061637163,-0.0001372695,-7.647276e-05,6.914139e-06,-0.00012987852,-3.8981438e-05,-0.0004466772,0.0001346767,2.2411346e-05,-0.00023394823,0.000109791756,5.1230192e-05,-0.000106841326,-3.3959746e-05,0.0001359731,-0.00047636032,-2.527237e-05,-0.00037366152,5.2332878e-05,-0.0002862811,-9.7453594e-05,4.284084e-05,-2.9802322e-07,-0.00016963482,-0.00016111135,-0.00038564205,2.6077032e-05,0.00030887127,-1.1920929e-07,0.00014254451,-6.4224005e-05,-2.9593706e-05,1.6868114e-05,2.2649765e-06,2.4497509e-05,1.0371208e-05,-2.5212765e-05,-0.0005155206,-0.004090607,-0.00015285611,-0.00019562244,2.0444393e-05,-0.00077712536,-9.521842e-05,0.00038182735,0.00024807453,-1.4901161e-06
CPC001_VCAP_6H:BRD-A38898897-003-01-0:10,0.00035610795,0.0014971793,0.00018721819,-0.0054715723,-0.0008197427,-0.00065639615,0.00054752827,-0.00012364984,0.00014328957,-0.00044760108,-0.00036656857,0.00034549832,0.00014561415,-0.0013099313,-0.000649333,-0.00013929605,4.2885542e-05,0.00047898293,-0.0001193285,6.377697e-06,-8.842349e-05,-5.6624413e-06,-0.0011065602,-0.0005893707,0.0002552271,1.4513731e-05,0.0001167953,-0.0004963428,-0.00072938204,0.00013643503,0.0008919239,-0.00053560734,-0.0011979938,-0.00016260147,-0.0005300641,-0.0013386756,0.00092601776,-3.1471252e-05,0.0,-0.00023436546,-0.00012817979,0.00015091896,2.75895e-05,-0.0007059872,0.00023770332,-0.00062680244,-0.00089240074,-8.559227e-05,-0.00039607286,-0.0006644726,-4.799664e-05,-0.00016617775,1.0192394e-05,0.00011026859,-0.00044238567,-9.775162e-05,-0.00019648671,0.00017434359,3.0457973e-05,0.001429379,-0.0016503334,-0.0007234216,-0.00011664629,0.00023132563,0.0010386109,-0.00029981136,-0.00023955107,-0.0003465414,-0.0035579652,0.0007033944,0.0009332299,0.00014257431,0.0023886263,-0.00013417006,0.00049743056,1.14142895e-05,7.0929527e-06,0.00054588914,-0.00016841292,-0.08297306,-2.7269125e-05,6.353855e-05,6.1392784e-06,-0.003462255,0.00015729666,-0.00035220385,-0.00023800135,-8.589029e-05,0.0007432103,2.026558e-06,-4.0501356e-05,0.0008601546,-0.0007767379,6.146729e-06,-0.00010794401,-0.00032514334,-0.00031799078,5.824864e-05,0.00020563602,1.0192394e-05,3.606081e-05
CPC001_VCAP_6H:BRD-A39522003-001-01-0:10,6.556511e-07,-2.3841858e-07,-1.1920929e-07,3.874302e-07,-3.5762787e-06,-1.1026859e-06,-4.7683716e-07,-3.2782555e-07,-8.940697e-07,-1.013279e-06,-7.003546e-07,0.0,5.9604645e-07,-2.3841858e-07,1.1324883e-06,-4.172325e-07,2.9802322e-08,2.3841858e-07,-1.1026859e-06,-1.2516975e-06,-2.682209e-07,-2.3841858e-07,-1.3262033e-06,-1.7881393e-07,-3.5762787e-07,-5.9604645e-07,3.874302e-07,-2.1606684e-06,-2.4437904e-06,-1.847744e-06,5.9604645e-07,-6.2584877e-07,1.7881393e-07,1.1920929e-07,-1.1324883e-06,-1.7434359e-06,-2.9802322e-07,0.0,0.0,-3.1292439e-07,-8.940697e-08,7.748604e-07,-1.3411045e-07,5.9604645e-07,-2.3841858e-07,9.536743e-07,-8.940697e-08,6.556511e-07,-1.0728836e-06,-1.3709068e-06,2.8312206e-07,2.682209e-07,5.066395e-07,1.4305115e-06,-1.1324883e-06,-2.3841858e-07,-5.9604645e-07,-1.7881393e-07,-1.1920929e-07,5.364418e-07,1.1622906e-06,7.1525574e-07,8.34465e-07,-1.1920929e-07,-1.5497208e-06,3.5762787e-07,2.3841858e-07,4.917383e-07,6.556511e-07,-1.4305115e-06,2.3841858e-07,-2.3841858e-07,-1.4901161e-06,-8.046627e-07,-1.7881393e-07,6.7055225e-07,0.0,-1.4901161e-07,3.2782555e-07,7.748604e-07,2.3841858e-07,-2.3841858e-07,0.0,7.1525574e-07,5.9604645e-08,1.7881393e-07,2.30968e-07,-1.4901161e-07,-7.4505806e-06,0.0,3.2782555e-07,-1.847744e-06,1.013279e-06,-2.6077032e-07,-4.7683716e-07,-3.5762787e-07,1.0728836e-06,-3.874302e-07,-1.4901161e-07,1.7881393e-07,5.9604645e-08
CPC001_VCAP_6H:BRD-A39747742-001-03-5:10,-0.006444961,0.0009962916,-0.006053984,-0.0014199913,0.0039141774,-0.083826244,0.016925469,-0.4811288,-0.0025583506,-0.0018523932,-0.015696347,-0.0007830262,0.11891112,-0.010630742,0.009871244,0.0035065413,-0.0027175844,0.020590246,-0.08367354,0.0032920837,-0.007923067,-0.037099242,0.0033689588,-0.0044658184,-0.008046001,-0.010335296,-0.05064881,-0.0060204864,-0.008047521,-0.009132564,-0.009039283,-0.068947464,0.00050747395,-0.033836007,-0.027135074,-0.018376544,-0.034970194,0.0008621216,0.0,-0.0017065704,2.2053719e-05,-0.06306064,-0.056740396,-0.014022291,0.004252434,0.023177743,-0.017302692,0.005618334,-0.00041621923,0.0009782612,-0.10948378,-0.021505684,0.0058068335,-0.0037056208,-0.0038079023,-0.026071489,-0.001260668,-0.0056951046,0.00063306093,-0.0045902133,-0.029779077,-0.0110217035,-0.0037665367,0.0015509725,-0.014781356,-0.00512439,-0.013392627,0.0051605105,0.0011416078,-0.0037660599,0.019114256,0.006177664,-0.0010037422,-0.008984625,0.008891165,-0.0052597225,-2.2679567e-05,-0.005692363,-0.008346558,-0.0029993653,-0.03332877,0.0009755492,-1.8775463e-05,-0.0015484393,-0.010239661,-0.03849712,-0.115210086,0.0012860298,0.0027091503,0.00019484758,0.008559495,-0.004404843,0.0013177842,0.00017595291,-0.14641136,-0.0020706058,-0.0007495284,-0.010194957,-0.010485083,-0.0066792965,-0.0006315708
CPC001_VCAP_6H:BRD-A43930669-003-01-0:10,-0.00025072694,-0.00056007504,-0.00038945675,0.0023260415,0.00020617247,0.00012901425,0.00024268031,8.994341e-05,8.249283e-05,2.259016e-05,-9.441376e-05,-0.0006172657,0.000104665756,-7.414818e-05,0.00016158819,-0.00018846989,6.943941e-06,-0.00021183491,0.00029483438,0.00093764067,-0.00027269125,0.00025132298,0.00039550662,-0.00018659234,-0.0002078712,-0.00028553605,9.536743e-07,-0.0003323555,0.0013342202,-4.8160553e-05,-0.0007174611,0.00010052323,3.6597252e-05,-3.2246113e-05,-0.00053811073,0.00010022521,-0.00043910742,0.0007547438,0.0,0.0011498332,0.00014096498,0.00024485588,5.6259334e-05,-0.00019592047,3.5643578e-05,-0.00023931265,0.0009071529,6.878376e-05,1.168251e-05,0.0033509135,-5.7429075e-05,-0.0001026392,-8.818507e-05,-0.0003388524,0.0016546249,3.838539e-05,5.3822994e-05,-0.00036662817,2.1994114e-05,-0.0022878647,-0.00026249886,-3.4570694e-05,3.6001205e-05,0.0075080395,-0.00027689338,-0.00074610114,0.00021891296,0.00010327995,0.0016994774,-0.0009883046,-0.00032764673,0.006116569,-2.2381544e-05,-0.00039756298,-0.00012344122,-0.00025863945,1.0073185e-05,-0.00019685924,-0.00012230873,-0.00069862604,1.5467405e-05,-0.00024312735,1.04904175e-05,0.0020970106,-0.00041019917,-0.00047641993,0.0002924949,0.0001733005,1.3649464e-05,-2.0861626e-06,8.523464e-06,0.0003758669,-0.00019098818,6.2957406e-06,-4.351139e-05,-1.3530254e-05,-4.0650368e-05,-0.0008286238,-0.00045204163,2.8014183e-05,-5.3286552e-05
CPC001_VCAP_6H:BRD-A47633927-001-01-8:10,-0.028918862,0.00092589855,0.033334196,-0.008085385,0.0015830398,7.304549e-05,-0.0068075657,0.0052514076,0.012170851,-0.0006150305,0.008456647,0.00022509694,-0.007954836,0.007093489,0.025405228,0.0033183992,0.0003195703,-0.028324246,0.0047704875,-0.0030602813,0.0019850135,0.09557918,0.002585709,0.0095402,0.013830185,0.0077000856,0.002858609,0.00017395616,-0.0049268007,0.006339133,-0.005833924,-0.00020648539,0.009206891,-0.0071733,0.015666127,0.008382708,0.00031542778,0.015657783,0.0,-0.0033631474,3.6925077e-05,0.14927739,-0.0041932166,0.00504452,-0.0017459989,0.006943226,0.0059450567,0.000106573105,0.0045558214,-0.00044983625,0.813197,-0.0013631284,0.0048548877,0.00029098988,-0.0061143637,0.0009416938,-0.024005175,0.03102982,-0.00034594536,0.0009786487,0.012465656,-0.010038793,-0.007482499,-0.020674765,-0.037750214,-0.0032185316,-0.007633105,0.012583375,-0.0054570287,0.0008966327,0.004969597,-0.006395519,-0.004700184,0.011739224,-0.010518283,-0.010253921,-2.9206276e-06,-0.007940695,-0.0057533085,0.00049102306,0.06756058,-0.0007787943,-2.861023e-06,-0.008425444,-0.021803275,-0.0012709498,-0.001846835,0.0019655526,-0.00063961744,7.015467e-05,0.0075297058,0.0008559227,-5.3063035e-05,0.002328515,0.0077856183,-0.00196594,0.021083772,-0.004930556,0.0013730824,0.00063061714,-7.95722e-05
